Title,Company,High,Low,Price,Volume,Change,,% Change
BANF,Bancfirst Corp,54.75,53.60,53.60,"2,414",-0.30,,0.56,
BANFP,Bfc Capital Trust II,27.77,27.69,27.69,600,-0.66,,2.33,
BANR,Banner Corp,56.19,55.70,55.83,"9,645",-0.13,,0.23,
BANX,Stonecastle Fncl Cp,21.60,21.54,21.59,"1,520",0.11,,0.51,
BASI,Bioanalytical Syst,1.470,1.400,1.430,"15,348",0.060,,4.38,
BATRA,Liberty Braves CS A,22.83,22.59,22.72,"8,487",0.09,,0.40,
BATRK,Liberty Braves CS C,23.01,22.76,22.85,"12,947",0.01,,0.04,
BBBY,Bed Bath & Beyond,21.74,21.14,21.52,"414,261",0.02,,0.09,
BBGI,Beasley Brdcst Gr,10.75,9.70,10.15,"17,200",-0.38,,3.56,
BBH,Biotech Vaneck ETF,120.0,119.1,119.1,"1,235",-0.3,,0.22,
BBOX,Black Box Cp,2.000,1.950,2.000,"9,024",0.050,,2.56,
BBRG,Bravo Brio Restauran,4.000,4.000,4.000,"13,905",-0.025,,0.62,
BBSI,Barrett Business S,84.16,83.50,84.16,"4,660",0.35,,0.42,
BCAC,Bison Capital Acquistion,9.980,9.960,9.960,"4,400",-0.010,,0.10,
BCACR,Bison Capital Acquistion Corp Rights,0.5000,0.4200,0.5000,"5,100",0.0000,,0.00,
